Breath,Time,Time_shifted,Delta_shifted
0,1835.8589,0.0,0.0
1,1840.1602,4.301300000000083,4.301300000000083
2,1844.2018,8.3429000000001,4.041600000000017
3,1848.1516,12.292699999999968,3.9497999999998683
4,1851.8097,15.950800000000072,3.658100000000104
5,1855.2403,19.381399999999985,3.430599999999913
6,1858.3248,22.465900000000147,3.084500000000162
7,1862.0082,26.14930000000004,3.6833999999998923
8,1865.2787,29.419800000000123,3.2705000000000837
9,1869.2346,33.37570000000005,3.9558999999999287
10,1873.0912,37.23230000000012,3.8566000000000713
11,1876.4388,40.57989999999995,3.3475999999998294
12,1880.2459,44.386999999999944,3.8070999999999913
13,1884.4293,48.57040000000006,4.18340000000012
14,1887.7602,51.90129999999999,3.3308999999999287
15,1891.5558,55.69690000000014,3.7956000000001495
16,1895.48,59.62110000000007,3.924199999999928
17,1899.5538,63.69489999999996,4.073799999999892
18,1903.5039,67.64499999999998,3.9501000000000204
19,1907.6353,71.77639999999997,4.131399999999985
20,1911.1561,75.29719999999998,3.5208000000000084
21,1915.0516,79.19270000000006,3.8955000000000837
22,1919.1843,83.32539999999995,4.132699999999886
23,1922.7002,86.84130000000005,3.5159000000001015
24,1926.9579,91.09900000000016,4.2577000000001135
25,1931.1789,95.32000000000016,4.221000000000004
26,1934.9948,99.13589999999999,3.8158999999998287
27,1938.6967,102.83780000000002,3.7019000000000233
28,1942.3299,106.471,3.633199999999988
29,1946.3509,110.49199999999996,4.020999999999958
30,1949.9645,114.1056000000001,3.613600000000133
31,1953.658,117.79909999999995,3.693499999999858
32,1957.3753,121.51639999999998,3.717300000000023
33,1961.2374,125.37850000000003,3.862100000000055
34,1964.9971,129.1382000000001,3.759700000000066
35,1969.1069,133.24800000000005,4.10979999999995
36,1972.6366,136.7777000000001,3.529700000000048
37,1976.2955,140.4366,3.6588999999999032
38,1979.8881,144.02919999999995,3.5925999999999476
39,1984.1037,148.24479999999994,4.215599999999995
40,1987.5821,151.72320000000013,3.4784000000001924
41,1991.1973,155.3384000000001,3.615199999999959
42,1995.3273,159.46839999999997,4.129999999999882
43,1999.1142,163.25530000000003,3.7869000000000597
44,2002.8912,167.03230000000008,3.7770000000000437
45,2006.5455,170.6866,3.654299999999921
46,2010.424,174.56510000000003,3.878500000000031
47,2014.0901,178.23119999999994,3.666099999999915
